"","sample","Sdiv_ptg000009l_0614-R","Sdiv_ptg000010l_2315-R","Pop","Vern","group"
"195","yo1.24_v2",2.51896172122656,3.48409104554855,"yo1","v2","v2_yo1"
"196","yo1.25_i0",4.40619838832668,5.53880156506682,"yo1","i0","i0_yo1"
"197","yo1.25_i2",-2.28992660111374,-3.80372912821737,"yo1","i2","i2_yo1"
"198","yo1.25_v0",5.08632447800167,4.02061799993521,"yo1","v0","v0_yo1"
"199","yo1.25_v1",4.21175587689318,4.38799018442856,"yo1","v1","v1_yo1"
"200","yo1.25_v2",-2.17855548879946,-0.0479060540750385,"yo1","v2","v2_yo1"
"201","yo1.50_i0",2.0065862093399,5.72837998738045,"yo1","i0","i0_yo1"
"202","yo1.50_i1",4.81715540062836,4.49010974764596,"yo1","i1","i1_yo1"
"203","yo1.50_i2",4.16909445083043,-2.92648310153906,"yo1","i2","i2_yo1"
"204","yo1.50_v0",5.35273939292214,3.00887231463873,"yo1","v0","v0_yo1"
"205","yo1.50_v1",3.01470638357558,4.49357528048494,"yo1","v1","v1_yo1"
"206","yo1.50_v2",-1.28589851692979,3.33505661113367,"yo1","v2","v2_yo1"
