"sample","gene","log2_cpm","Pop","Vern","group","elevation"
"bhr18_i0","Sdiv_ptg000009l_0614-R",5.74701910583495,"bhr","i0","i0_bhr","low"
"bhr18_i1","Sdiv_ptg000009l_0614-R",5.33757840535595,"bhr","i1","i1_bhr","low"
"bhr18_i2","Sdiv_ptg000009l_0614-R",4.39103709517823,"bhr","i2","i2_bhr","low"
"bhr18_v0","Sdiv_ptg000009l_0614-R",4.92276628185189,"bhr","v0","v0_bhr","low"
"bhr18_v1","Sdiv_ptg000009l_0614-R",4.16419534011508,"bhr","v1","v1_bhr","low"
"bhr18_v2","Sdiv_ptg000009l_0614-R",2.69578258001166,"bhr","v2","v2_bhr","low"
"ihl21_i0","Sdiv_ptg000009l_0614-R",5.64887072613233,"ihl","i0","i0_ihl","low"
"ihl21_i1","Sdiv_ptg000009l_0614-R",5.58196253479095,"ihl","i1","i1_ihl","low"
"ihl21_v0","Sdiv_ptg000009l_0614-R",5.52362899314235,"ihl","v0","v0_ihl","low"
"ihl21_v1","Sdiv_ptg000009l_0614-R",4.7872978052022,"ihl","v1","v1_ihl","low"
"ihl27_i0","Sdiv_ptg000009l_0614-R",5.23638112632103,"ihl","i0","i0_ihl","low"
"ihl27_i1","Sdiv_ptg000009l_0614-R",3.59899203056706,"ihl","i1","i1_ihl","low"
"ihl27_i2","Sdiv_ptg000009l_0614-R",4.12555169234359,"ihl","i2","i2_ihl","low"
"ihl27_v0","Sdiv_ptg000009l_0614-R",5.39511218281839,"ihl","v0","v0_ihl","low"
"ihl27_v1","Sdiv_ptg000009l_0614-R",3.88734424340608,"ihl","v1","v1_ihl","low"
"ihl27_v2","Sdiv_ptg000009l_0614-R",2.46628440120095,"ihl","v2","v2_ihl","low"
"ihl29_i0","Sdiv_ptg000009l_0614-R",5.27379748661802,"ihl","i0","i0_ihl","low"
"ihl29_i2","Sdiv_ptg000009l_0614-R",1.84669805580531,"ihl","i2","i2_ihl","low"
"ihl29_v0","Sdiv_ptg000009l_0614-R",5.04351206450403,"ihl","v0","v0_ihl","low"
"ihl29_v1","Sdiv_ptg000009l_0614-R",4.3688797400717,"ihl","v1","v1_ihl","low"
"ihl29_v2","Sdiv_ptg000009l_0614-R",0.575406033084505,"ihl","v2","v2_ihl","low"
"ihl30_i0","Sdiv_ptg000009l_0614-R",5.30869635764142,"ihl","i0","i0_ihl","low"
"ihl30_i1","Sdiv_ptg000009l_0614-R",4.10442821467817,"ihl","i1","i1_ihl","low"
"ihl30_i2","Sdiv_ptg000009l_0614-R",1.2176745433186,"ihl","i2","i2_ihl","low"
"ihl30_v0","Sdiv_ptg000009l_0614-R",4.90496666773503,"ihl","v0","v0_ihl","low"
"ihl30_v1","Sdiv_ptg000009l_0614-R",3.21539808284198,"ihl","v1","v1_ihl","low"
"ihl30_v2","Sdiv_ptg000009l_0614-R",1.19166930113146,"ihl","v2","v2_ihl","low"
"kc206_i0","Sdiv_ptg000009l_0614-R",5.08566361653688,"kc2","i0","i0_kc2",NA
"kc206_i1","Sdiv_ptg000009l_0614-R",5.18210021382665,"kc2","i1","i1_kc2",NA
"kc206_v0","Sdiv_ptg000009l_0614-R",5.38192807896866,"kc2","v0","v0_kc2",NA
"kc206_v1","Sdiv_ptg000009l_0614-R",4.72708987431106,"kc2","v1","v1_kc2",NA
"kc208_i0","Sdiv_ptg000009l_0614-R",5.17719449787773,"kc2","i0","i0_kc2",NA
"kc208_i1","Sdiv_ptg000009l_0614-R",4.17551804733559,"kc2","i1","i1_kc2",NA
"kc208_v0","Sdiv_ptg000009l_0614-R",5.02484834241188,"kc2","v0","v0_kc2",NA
"kc208_v1","Sdiv_ptg000009l_0614-R",4.85006979337035,"kc2","v1","v1_kc2",NA
"kc210_i0","Sdiv_ptg000009l_0614-R",5.42756354228225,"kc2","i0","i0_kc2",NA
"kc210_i1","Sdiv_ptg000009l_0614-R",5.68781439771724,"kc2","i1","i1_kc2",NA
"kc210_i2","Sdiv_ptg000009l_0614-R",5.43845992587819,"kc2","i2","i2_kc2",NA
"kc210_v0","Sdiv_ptg000009l_0614-R",5.64102524301892,"kc2","v0","v0_kc2",NA
"kc210_v1","Sdiv_ptg000009l_0614-R",4.87960845135649,"kc2","v1","v1_kc2",NA
"kc210_v2","Sdiv_ptg000009l_0614-R",5.68399902342998,"kc2","v2","v2_kc2",NA
"kc213_i0","Sdiv_ptg000009l_0614-R",6.01414767555653,"kc2","i0","i0_kc2",NA
"kc213_i1","Sdiv_ptg000009l_0614-R",5.62938307808952,"kc2","i1","i1_kc2",NA
"kc213_i2","Sdiv_ptg000009l_0614-R",4.99520267685903,"kc2","i2","i2_kc2",NA
"kc213_v0","Sdiv_ptg000009l_0614-R",4.57232179392432,"kc2","v0","v0_kc2",NA
"kc213_v2","Sdiv_ptg000009l_0614-R",4.96751697096085,"kc2","v2","v2_kc2",NA
"kc223_i0","Sdiv_ptg000009l_0614-R",5.16181129722441,"kc2","i0","i0_kc2",NA
"kc223_i1","Sdiv_ptg000009l_0614-R",4.86301967211561,"kc2","i1","i1_kc2",NA
"kc223_i2","Sdiv_ptg000009l_0614-R",5.67673807887085,"kc2","i2","i2_kc2",NA
"kc223_v0","Sdiv_ptg000009l_0614-R",5.18890561432535,"kc2","v0","v0_kc2",NA
"kc223_v1","Sdiv_ptg000009l_0614-R",5.16221518472493,"kc2","v1","v1_kc2",NA
"lv304_i0","Sdiv_ptg000009l_0614-R",5.07683205772512,"lv3","i0","i0_lv3",NA
"lv304_i1","Sdiv_ptg000009l_0614-R",5.18630411702897,"lv3","i1","i1_lv3",NA
"lv304_i2","Sdiv_ptg000009l_0614-R",-0.976868150869323,"lv3","i2","i2_lv3",NA
"lv304_v0","Sdiv_ptg000009l_0614-R",6.09696963081816,"lv3","v0","v0_lv3",NA
"lv304_v1","Sdiv_ptg000009l_0614-R",4.82437698347189,"lv3","v1","v1_lv3",NA
"lv304_v2","Sdiv_ptg000009l_0614-R",5.2508800225291,"lv3","v2","v2_lv3",NA
"lv308_i0","Sdiv_ptg000009l_0614-R",4.99807669509359,"lv3","i0","i0_lv3",NA
"lv308_i1","Sdiv_ptg000009l_0614-R",5.2784328156547,"lv3","i1","i1_lv3",NA
"lv308_v0","Sdiv_ptg000009l_0614-R",6.22633256440646,"lv3","v0","v0_lv3",NA
"lv308_v1","Sdiv_ptg000009l_0614-R",5.12163072585967,"lv3","v1","v1_lv3",NA
"lv315_i0","Sdiv_ptg000009l_0614-R",5.94013314787254,"lv3","i0","i0_lv3",NA
"lv315_i1","Sdiv_ptg000009l_0614-R",5.84459860028152,"lv3","i1","i1_lv3",NA
"lv315_v0","Sdiv_ptg000009l_0614-R",4.67528464473435,"lv3","v0","v0_lv3",NA
"lv315_v1","Sdiv_ptg000009l_0614-R",4.92974287449233,"lv3","v1","v1_lv3",NA
"lv316_i0","Sdiv_ptg000009l_0614-R",4.93176698779904,"lv3","i0","i0_lv3",NA
"lv316_i1","Sdiv_ptg000009l_0614-R",5.30757335937955,"lv3","i1","i1_lv3",NA
"lv316_i2","Sdiv_ptg000009l_0614-R",4.26214541560139,"lv3","i2","i2_lv3",NA
"lv316_v0","Sdiv_ptg000009l_0614-R",6.14871415631559,"lv3","v0","v0_lv3",NA
"lv316_v1","Sdiv_ptg000009l_0614-R",5.74444281876825,"lv3","v1","v1_lv3",NA
"lv316_v2","Sdiv_ptg000009l_0614-R",-0.824128600466634,"lv3","v2","v2_lv3",NA
"lv323_i0","Sdiv_ptg000009l_0614-R",5.29204627152432,"lv3","i0","i0_lv3",NA
"lv323_i1","Sdiv_ptg000009l_0614-R",5.10449094840694,"lv3","i1","i1_lv3",NA
"lv323_i2","Sdiv_ptg000009l_0614-R",2.33157734156796,"lv3","i2","i2_lv3",NA
"lv323_v0","Sdiv_ptg000009l_0614-R",5.94724584222196,"lv3","v0","v0_lv3",NA
"lv323_v1","Sdiv_ptg000009l_0614-R",5.18473899479321,"lv3","v1","v1_lv3",NA
"lv323_v2","Sdiv_ptg000009l_0614-R",1.58352940903907,"lv3","v2","v2_lv3",NA
"sq306_i0","Sdiv_ptg000009l_0614-R",5.40998686258429,"sq3","i0","i0_sq3",NA
"sq306_i1","Sdiv_ptg000009l_0614-R",2.06744067748704,"sq3","i1","i1_sq3",NA
"sq306_i2","Sdiv_ptg000009l_0614-R",1.16812112115494,"sq3","i2","i2_sq3",NA
"sq306_v0","Sdiv_ptg000009l_0614-R",3.95630608964576,"sq3","v0","v0_sq3",NA
"sq306_v1","Sdiv_ptg000009l_0614-R",4.55141366876943,"sq3","v1","v1_sq3",NA
"sq306_v2","Sdiv_ptg000009l_0614-R",1.8243823016298,"sq3","v2","v2_sq3",NA
"sq308_i0","Sdiv_ptg000009l_0614-R",4.34996687446456,"sq3","i0","i0_sq3",NA
"sq308_i1","Sdiv_ptg000009l_0614-R",4.20348153475506,"sq3","i1","i1_sq3",NA
"sq308_i2","Sdiv_ptg000009l_0614-R",-1.21867592167318,"sq3","i2","i2_sq3",NA
"sq308_v0","Sdiv_ptg000009l_0614-R",4.6560475378157,"sq3","v0","v0_sq3",NA
"sq308_v1","Sdiv_ptg000009l_0614-R",4.32396029697618,"sq3","v1","v1_sq3",NA
"sq308_v2","Sdiv_ptg000009l_0614-R",1.00746637096369,"sq3","v2","v2_sq3",NA
"sq311_i0","Sdiv_ptg000009l_0614-R",5.0603601065857,"sq3","i0","i0_sq3",NA
"sq311_i1","Sdiv_ptg000009l_0614-R",4.58285510397724,"sq3","i1","i1_sq3",NA
"sq311_i2","Sdiv_ptg000009l_0614-R",4.24914901639041,"sq3","i2","i2_sq3",NA
"sq311_v0","Sdiv_ptg000009l_0614-R",10.1534035883386,"sq3","v0","v0_sq3",NA
"sq311_v1","Sdiv_ptg000009l_0614-R",4.46024186788916,"sq3","v1","v1_sq3",NA
"sq311_v2","Sdiv_ptg000009l_0614-R",2.74801217254679,"sq3","v2","v2_sq3",NA
"sq314_i0","Sdiv_ptg000009l_0614-R",4.72576501792998,"sq3","i0","i0_sq3",NA
"sq314_i1","Sdiv_ptg000009l_0614-R",3.97510880309052,"sq3","i1","i1_sq3",NA
"sq314_i2","Sdiv_ptg000009l_0614-R",0.268569312991292,"sq3","i2","i2_sq3",NA
"sq314_v1","Sdiv_ptg000009l_0614-R",1.0916147082515,"sq3","v1","v1_sq3",NA
"sq314_v2","Sdiv_ptg000009l_0614-R",3.57520376047306,"sq3","v2","v2_sq3",NA
"sq316_i0","Sdiv_ptg000009l_0614-R",4.91404410635255,"sq3","i0","i0_sq3",NA
"sq316_i1","Sdiv_ptg000009l_0614-R",7.7133461124294,"sq3","i1","i1_sq3",NA
"sq316_i2","Sdiv_ptg000009l_0614-R",6.84151828036318,"sq3","i2","i2_sq3",NA
"sq316_v1","Sdiv_ptg000009l_0614-R",4.75786671300835,"sq3","v1","v1_sq3",NA
"sq316_v2","Sdiv_ptg000009l_0614-R",-0.991141267585833,"sq3","v2","v2_sq3",NA
"tm201_i0","Sdiv_ptg000009l_0614-R",6.03221238263623,"tm2","i0","i0_tm2",NA
"tm201_i1","Sdiv_ptg000009l_0614-R",3.61519229897952,"tm2","i1","i1_tm2",NA
"tm201_v0","Sdiv_ptg000009l_0614-R",6.6495804197033,"tm2","v0","v0_tm2",NA
"tm201_v1","Sdiv_ptg000009l_0614-R",1.63909140391928,"tm2","v1","v1_tm2",NA
"tm201_v2","Sdiv_ptg000009l_0614-R",-0.965559576848196,"tm2","v2","v2_tm2",NA
"tm202_i0","Sdiv_ptg000009l_0614-R",4.91838796113945,"tm2","i0","i0_tm2",NA
"tm202_i1","Sdiv_ptg000009l_0614-R",2.70395938273632,"tm2","i1","i1_tm2",NA
"tm202_v0","Sdiv_ptg000009l_0614-R",6.33020275743744,"tm2","v0","v0_tm2",NA
"tm202_v1","Sdiv_ptg000009l_0614-R",3.43813037020131,"tm2","v1","v1_tm2",NA
"tm203_i0","Sdiv_ptg000009l_0614-R",5.03453772160432,"tm2","i0","i0_tm2",NA
"tm203_i1","Sdiv_ptg000009l_0614-R",4.1098374100981,"tm2","i1","i1_tm2",NA
"tm203_v0","Sdiv_ptg000009l_0614-R",5.45097650894426,"tm2","v0","v0_tm2",NA
"tm203_v1","Sdiv_ptg000009l_0614-R",3.2485219068707,"tm2","v1","v1_tm2",NA
"tm204_i0","Sdiv_ptg000009l_0614-R",3.69066137489868,"tm2","i0","i0_tm2",NA
"tm204_i1","Sdiv_ptg000009l_0614-R",-0.821485180856978,"tm2","i1","i1_tm2",NA
"tm204_i2","Sdiv_ptg000009l_0614-R",1.47330043496064,"tm2","i2","i2_tm2",NA
"tm204_v0","Sdiv_ptg000009l_0614-R",4.96955387356867,"tm2","v0","v0_tm2",NA
"tm204_v1","Sdiv_ptg000009l_0614-R",0.662467293693313,"tm2","v1","v1_tm2",NA
"tm204_v2","Sdiv_ptg000009l_0614-R",-1.00265714745524,"tm2","v2","v2_tm2",NA
"tm206_i0","Sdiv_ptg000009l_0614-R",5.11182884342517,"tm2","i0","i0_tm2",NA
"tm206_i1","Sdiv_ptg000009l_0614-R",-0.846807812711342,"tm2","i1","i1_tm2",NA
"tm206_v0","Sdiv_ptg000009l_0614-R",3.70367543849451,"tm2","v0","v0_tm2",NA
"tm206_v1","Sdiv_ptg000009l_0614-R",5.49530419649477,"tm2","v1","v1_tm2",NA
"wl219_i0","Sdiv_ptg000009l_0614-R",5.17770915612552,"wl2","i0","i0_wl2",NA
"wl219_i1","Sdiv_ptg000009l_0614-R",3.70124351763732,"wl2","i1","i1_wl2",NA
"wl219_i2","Sdiv_ptg000009l_0614-R",-1.92934877141514,"wl2","i2","i2_wl2",NA
"wl219_v0","Sdiv_ptg000009l_0614-R",5.35122738846182,"wl2","v0","v0_wl2",NA
"wl219_v1","Sdiv_ptg000009l_0614-R",4.57096710577443,"wl2","v1","v1_wl2",NA
"wl219_v2","Sdiv_ptg000009l_0614-R",-1.7174428493688,"wl2","v2","v2_wl2",NA
"wl221_i0","Sdiv_ptg000009l_0614-R",6.41473493679355,"wl2","i0","i0_wl2",NA
"wl221_i1","Sdiv_ptg000009l_0614-R",5.89369087644492,"wl2","i1","i1_wl2",NA
"wl221_i2","Sdiv_ptg000009l_0614-R",2.32880241363215,"wl2","i2","i2_wl2",NA
"wl221_v0","Sdiv_ptg000009l_0614-R",5.65272055096973,"wl2","v0","v0_wl2",NA
"wl221_v1","Sdiv_ptg000009l_0614-R",3.78379003115183,"wl2","v1","v1_wl2",NA
"wl223_i0","Sdiv_ptg000009l_0614-R",4.88769886963553,"wl2","i0","i0_wl2",NA
"wl223_i1","Sdiv_ptg000009l_0614-R",3.99168785809701,"wl2","i1","i1_wl2",NA
"wl223_i2","Sdiv_ptg000009l_0614-R",-1.0968111547468,"wl2","i2","i2_wl2",NA
"wl223_v0","Sdiv_ptg000009l_0614-R",4.91148837482498,"wl2","v0","v0_wl2",NA
"wl223_v1","Sdiv_ptg000009l_0614-R",3.73491369913354,"wl2","v1","v1_wl2",NA
"wl223_v2","Sdiv_ptg000009l_0614-R",-3.0486156873536,"wl2","v2","v2_wl2",NA
"wl238_i0","Sdiv_ptg000009l_0614-R",4.92188170043331,"wl2","i0","i0_wl2",NA
"wl238_i1","Sdiv_ptg000009l_0614-R",3.44454083569203,"wl2","i1","i1_wl2",NA
"wl238_v0","Sdiv_ptg000009l_0614-R",4.58280722291244,"wl2","v0","v0_wl2",NA
"wl238_v1","Sdiv_ptg000009l_0614-R",3.63996676012234,"wl2","v1","v1_wl2",NA
"wl241_i0","Sdiv_ptg000009l_0614-R",4.59185772197054,"wl2","i0","i0_wl2",NA
"wl241_i1","Sdiv_ptg000009l_0614-R",3.74453472486548,"wl2","i1","i1_wl2",NA
"wl241_i2","Sdiv_ptg000009l_0614-R",-1.5289423076195,"wl2","i2","i2_wl2",NA
"wl241_v0","Sdiv_ptg000009l_0614-R",5.40299507013842,"wl2","v0","v0_wl2",NA
"wl241_v1","Sdiv_ptg000009l_0614-R",4.58931338533741,"wl2","v1","v1_wl2",NA
"wl241_v2","Sdiv_ptg000009l_0614-R",1.79630696214677,"wl2","v2","v2_wl2",NA
"yo119_i0","Sdiv_ptg000009l_0614-R",4.8618484088192,"yo1","i0","i0_yo1",NA
"yo119_i1","Sdiv_ptg000009l_0614-R",-2.3040298964001,"yo1","i1","i1_yo1",NA
"yo119_i2","Sdiv_ptg000009l_0614-R",2.84776489680141,"yo1","i2","i2_yo1",NA
"yo119_v0","Sdiv_ptg000009l_0614-R",4.3787242836146,"yo1","v0","v0_yo1",NA
"yo119_v1","Sdiv_ptg000009l_0614-R",4.22776282501562,"yo1","v1","v1_yo1",NA
"yo119_v2","Sdiv_ptg000009l_0614-R",1.67665545302404,"yo1","v2","v2_yo1",NA
"yo120_i0","Sdiv_ptg000009l_0614-R",4.11730643840139,"yo1","i0","i0_yo1",NA
"yo120_i1","Sdiv_ptg000009l_0614-R",5.02836497422989,"yo1","i1","i1_yo1",NA
"yo120_v0","Sdiv_ptg000009l_0614-R",5.63365786844689,"yo1","v0","v0_yo1",NA
"yo120_v1","Sdiv_ptg000009l_0614-R",3.62918819195479,"yo1","v1","v1_yo1",NA
"yo120_v2","Sdiv_ptg000009l_0614-R",2.01755083552015,"yo1","v2","v2_yo1",NA
"yo124_i0","Sdiv_ptg000009l_0614-R",4.14189997846294,"yo1","i0","i0_yo1",NA
"yo124_i2","Sdiv_ptg000009l_0614-R",1.11028905584982,"yo1","i2","i2_yo1",NA
"yo124_v0","Sdiv_ptg000009l_0614-R",5.34586906905867,"yo1","v0","v0_yo1",NA
"yo124_v1","Sdiv_ptg000009l_0614-R",3.796729716231,"yo1","v1","v1_yo1",NA
"yo124_v2","Sdiv_ptg000009l_0614-R",2.51896172122656,"yo1","v2","v2_yo1",NA
"yo125_i0","Sdiv_ptg000009l_0614-R",4.40619838832668,"yo1","i0","i0_yo1",NA
"yo125_i2","Sdiv_ptg000009l_0614-R",-2.28992660111374,"yo1","i2","i2_yo1",NA
"yo125_v0","Sdiv_ptg000009l_0614-R",5.08632447800167,"yo1","v0","v0_yo1",NA
"yo125_v1","Sdiv_ptg000009l_0614-R",4.21175587689318,"yo1","v1","v1_yo1",NA
"yo125_v2","Sdiv_ptg000009l_0614-R",-2.17855548879946,"yo1","v2","v2_yo1",NA
"yo150_i0","Sdiv_ptg000009l_0614-R",2.0065862093399,"yo1","i0","i0_yo1",NA
"yo150_i1","Sdiv_ptg000009l_0614-R",4.81715540062836,"yo1","i1","i1_yo1",NA
"yo150_i2","Sdiv_ptg000009l_0614-R",4.16909445083043,"yo1","i2","i2_yo1",NA
"yo150_v0","Sdiv_ptg000009l_0614-R",5.35273939292214,"yo1","v0","v0_yo1",NA
"yo150_v1","Sdiv_ptg000009l_0614-R",3.01470638357558,"yo1","v1","v1_yo1",NA
"yo150_v2","Sdiv_ptg000009l_0614-R",-1.28589851692979,"yo1","v2","v2_yo1",NA
