"sample","gene","log2_cpm","Pop","Vern","group","elevation"
"bhr02_i0","Sdiv_ptg000009l_0614-R",5.74931360974149,"bhr","i0","i0_bhr","low"
"bhr02_i1","Sdiv_ptg000009l_0614-R",5.30560704369403,"bhr","i1","i1_bhr","low"
"bhr02_i2","Sdiv_ptg000009l_0614-R",4.79189547100475,"bhr","i2","i2_bhr","low"
"bhr02_v0","Sdiv_ptg000009l_0614-R",5.16840051840554,"bhr","v0","v0_bhr","low"
"bhr02_v1","Sdiv_ptg000009l_0614-R",4.12967683331086,"bhr","v1","v1_bhr","low"
"bhr02_v2","Sdiv_ptg000009l_0614-R",2.12410917185031,"bhr","v2","v2_bhr","low"
"bhr06_i0","Sdiv_ptg000009l_0614-R",5.50226147125708,"bhr","i0","i0_bhr","low"
"bhr06_i1","Sdiv_ptg000009l_0614-R",5.67277603738877,"bhr","i1","i1_bhr","low"
"bhr06_i2","Sdiv_ptg000009l_0614-R",4.3735449931503,"bhr","i2","i2_bhr","low"
"bhr06_v0","Sdiv_ptg000009l_0614-R",5.51089611276717,"bhr","v0","v0_bhr","low"
"bhr06_v1","Sdiv_ptg000009l_0614-R",4.25650397142514,"bhr","v1","v1_bhr","low"
"bhr06_v2","Sdiv_ptg000009l_0614-R",2.39972227160329,"bhr","v2","v2_bhr","low"
"bhr08_i0","Sdiv_ptg000009l_0614-R",5.18184737824641,"bhr","i0","i0_bhr","low"
"bhr08_i1","Sdiv_ptg000009l_0614-R",5.38235605540949,"bhr","i1","i1_bhr","low"
"bhr08_i2","Sdiv_ptg000009l_0614-R",3.74522937184696,"bhr","i2","i2_bhr","low"
"bhr08_v0","Sdiv_ptg000009l_0614-R",5.37040192072074,"bhr","v0","v0_bhr","low"
"bhr08_v1","Sdiv_ptg000009l_0614-R",4.7482080243602,"bhr","v1","v1_bhr","low"
"bhr08_v2","Sdiv_ptg000009l_0614-R",2.66961951487598,"bhr","v2","v2_bhr","low"
"bhr14_i0","Sdiv_ptg000009l_0614-R",5.36664793342601,"bhr","i0","i0_bhr","low"
"bhr14_i1","Sdiv_ptg000009l_0614-R",5.77129776523378,"bhr","i1","i1_bhr","low"
"bhr14_i2","Sdiv_ptg000009l_0614-R",6.15031211202399,"bhr","i2","i2_bhr","low"
"bhr14_v0","Sdiv_ptg000009l_0614-R",5.45104575580668,"bhr","v0","v0_bhr","low"
"bhr14_v1","Sdiv_ptg000009l_0614-R",4.72543601331591,"bhr","v1","v1_bhr","low"
"bhr14_v2","Sdiv_ptg000009l_0614-R",3.91853059476109,"bhr","v2","v2_bhr","low"
