"sample","gene","log2_cpm","Pop","Vern","group","elevation"
"bhr02_i0","Sdiv_ptg000010l_2315-R",4.27597055924422,"bhr","i0","i0_bhr","low"
"bhr02_i1","Sdiv_ptg000010l_2315-R",4.54227073127774,"bhr","i1","i1_bhr","low"
"bhr02_i2","Sdiv_ptg000010l_2315-R",3.94457954245175,"bhr","i2","i2_bhr","low"
"bhr02_v0","Sdiv_ptg000010l_2315-R",3.50362051992322,"bhr","v0","v0_bhr","low"
"bhr02_v1","Sdiv_ptg000010l_2315-R",3.92932566908815,"bhr","v1","v1_bhr","low"
"bhr02_v2","Sdiv_ptg000010l_2315-R",3.60293872807348,"bhr","v2","v2_bhr","low"
"bhr06_i0","Sdiv_ptg000010l_2315-R",4.69394823288561,"bhr","i0","i0_bhr","low"
"bhr06_i1","Sdiv_ptg000010l_2315-R",4.91648741945057,"bhr","i1","i1_bhr","low"
"bhr06_i2","Sdiv_ptg000010l_2315-R",4.17804745400084,"bhr","i2","i2_bhr","low"
"bhr06_v0","Sdiv_ptg000010l_2315-R",4.13167723874089,"bhr","v0","v0_bhr","low"
"bhr06_v1","Sdiv_ptg000010l_2315-R",4.09106007939764,"bhr","v1","v1_bhr","low"
"bhr06_v2","Sdiv_ptg000010l_2315-R",2.88879204771744,"bhr","v2","v2_bhr","low"
"bhr08_i0","Sdiv_ptg000010l_2315-R",4.97097689757097,"bhr","i0","i0_bhr","low"
"bhr08_i1","Sdiv_ptg000010l_2315-R",4.88328651694983,"bhr","i1","i1_bhr","low"
"bhr08_i2","Sdiv_ptg000010l_2315-R",4.31837699229234,"bhr","i2","i2_bhr","low"
"bhr08_v0","Sdiv_ptg000010l_2315-R",3.642754670966,"bhr","v0","v0_bhr","low"
"bhr08_v1","Sdiv_ptg000010l_2315-R",3.76190987620484,"bhr","v1","v1_bhr","low"
"bhr08_v2","Sdiv_ptg000010l_2315-R",3.9675767049051,"bhr","v2","v2_bhr","low"
"bhr14_i0","Sdiv_ptg000010l_2315-R",4.51545135062957,"bhr","i0","i0_bhr","low"
"bhr14_i1","Sdiv_ptg000010l_2315-R",4.64670512334224,"bhr","i1","i1_bhr","low"
"bhr14_i2","Sdiv_ptg000010l_2315-R",4.65961812492818,"bhr","i2","i2_bhr","low"
"bhr14_v0","Sdiv_ptg000010l_2315-R",3.97538466514946,"bhr","v0","v0_bhr","low"
"bhr14_v1","Sdiv_ptg000010l_2315-R",4.2404270269126,"bhr","v1","v1_bhr","low"
"bhr14_v2","Sdiv_ptg000010l_2315-R",4.31600958411814,"bhr","v2","v2_bhr","low"
"bhr18_i0","Sdiv_ptg000010l_2315-R",5.15663312453049,"bhr","i0","i0_bhr","low"
"bhr18_i1","Sdiv_ptg000010l_2315-R",4.84328014734776,"bhr","i1","i1_bhr","low"
"bhr18_i2","Sdiv_ptg000010l_2315-R",4.64581609434539,"bhr","i2","i2_bhr","low"
"bhr18_v0","Sdiv_ptg000010l_2315-R",4.36179505427153,"bhr","v0","v0_bhr","low"
"bhr18_v1","Sdiv_ptg000010l_2315-R",4.75476068440552,"bhr","v1","v1_bhr","low"
"bhr18_v2","Sdiv_ptg000010l_2315-R",3.62970248260009,"bhr","v2","v2_bhr","low"
"ihl21_i0","Sdiv_ptg000010l_2315-R",4.75533776754735,"ihl","i0","i0_ihl","low"
"ihl21_i1","Sdiv_ptg000010l_2315-R",5.01358715163281,"ihl","i1","i1_ihl","low"
"ihl21_v0","Sdiv_ptg000010l_2315-R",3.82382350014131,"ihl","v0","v0_ihl","low"
"ihl21_v1","Sdiv_ptg000010l_2315-R",4.52694064703568,"ihl","v1","v1_ihl","low"
"ihl27_i0","Sdiv_ptg000010l_2315-R",4.74468393408958,"ihl","i0","i0_ihl","low"
"ihl27_i1","Sdiv_ptg000010l_2315-R",4.66914604954964,"ihl","i1","i1_ihl","low"
"ihl27_i2","Sdiv_ptg000010l_2315-R",2.57076807936807,"ihl","i2","i2_ihl","low"
"ihl27_v0","Sdiv_ptg000010l_2315-R",4.02831297142864,"ihl","v0","v0_ihl","low"
"ihl27_v1","Sdiv_ptg000010l_2315-R",4.72493039697508,"ihl","v1","v1_ihl","low"
"ihl27_v2","Sdiv_ptg000010l_2315-R",3.37602534923735,"ihl","v2","v2_ihl","low"
"ihl29_i0","Sdiv_ptg000010l_2315-R",4.49068689106027,"ihl","i0","i0_ihl","low"
"ihl29_i2","Sdiv_ptg000010l_2315-R",2.1158931841862,"ihl","i2","i2_ihl","low"
"ihl29_v0","Sdiv_ptg000010l_2315-R",3.65627597739044,"ihl","v0","v0_ihl","low"
"ihl29_v1","Sdiv_ptg000010l_2315-R",4.3688797400717,"ihl","v1","v1_ihl","low"
"ihl29_v2","Sdiv_ptg000010l_2315-R",1.74842794886458,"ihl","v2","v2_ihl","low"
"ihl30_i0","Sdiv_ptg000010l_2315-R",4.47985205884585,"ihl","i0","i0_ihl","low"
