sample,pop,mf,trt,vern_length,stage,group
kc2-06_v0,kc2,06,v0,0,v,kc2_v0
kc2-06_v1,kc2,06,v1,1,v,kc2_v1
kc2-08_i0,kc2,08,i0,0,i,kc2_i0
kc2-08_i1,kc2,08,i1,1,i,kc2_i1
kc2-08_v0,kc2,08,v0,0,v,kc2_v0
kc2-08_v1,kc2,08,v1,1,v,kc2_v1
kc2-10_i0,kc2,10,i0,0,i,kc2_i0
kc2-10_i1,kc2,10,i1,1,i,kc2_i1
kc2-10_i2,kc2,10,i2,2,i,kc2_i2
kc2-10_v0,kc2,10,v0,0,v,kc2_v0
kc2-10_v1,kc2,10,v1,1,v,kc2_v1
kc2-10_v2,kc2,10,v2,2,v,kc2_v2
kc2-13_i0,kc2,13,i0,0,i,kc2_i0
kc2-13_i1,kc2,13,i1,1,i,kc2_i1
kc2-13_i2,kc2,13,i2,2,i,kc2_i2
kc2-13_v0,kc2,13,v0,0,v,kc2_v0
kc2-13_v2,kc2,13,v2,2,v,kc2_v2
kc2-23_i0,kc2,23,i0,0,i,kc2_i0
kc2-23_i1,kc2,23,i1,1,i,kc2_i1
kc2-23_i2,kc2,23,i2,2,i,kc2_i2
kc2-23_v0,kc2,23,v0,0,v,kc2_v0
kc2-23_v1,kc2,23,v1,1,v,kc2_v1
lv3-04_i0,lv3,04,i0,0,i,lv3_i0
lv3-04_i1,lv3,04,i1,1,i,lv3_i1
lv3-04_i2,lv3,04,i2,2,i,lv3_i2
lv3-04_v0,lv3,04,v0,0,v,lv3_v0
lv3-04_v1,lv3,04,v1,1,v,lv3_v1
lv3-04_v2,lv3,04,v2,2,v,lv3_v2
lv3-08_i0,lv3,08,i0,0,i,lv3_i0
lv3-08_i1,lv3,08,i1,1,i,lv3_i1
lv3-08_v0,lv3,08,v0,0,v,lv3_v0
lv3-08_v1,lv3,08,v1,1,v,lv3_v1
lv3-15_i0,lv3,15,i0,0,i,lv3_i0
lv3-15_i1,lv3,15,i1,1,i,lv3_i1
lv3-15_v0,lv3,15,v0,0,v,lv3_v0
lv3-15_v1,lv3,15,v1,1,v,lv3_v1
lv3-16_i0,lv3,16,i0,0,i,lv3_i0
lv3-16_i1,lv3,16,i1,1,i,lv3_i1
lv3-16_i2,lv3,16,i2,2,i,lv3_i2
lv3-16_v0,lv3,16,v0,0,v,lv3_v0
lv3-16_v1,lv3,16,v1,1,v,lv3_v1
lv3-16_v2,lv3,16,v2,2,v,lv3_v2
lv3-23_i0,lv3,23,i0,0,i,lv3_i0
lv3-23_i1,lv3,23,i1,1,i,lv3_i1
lv3-23_i2,lv3,23,i2,2,i,lv3_i2
lv3-23_v0,lv3,23,v0,0,v,lv3_v0
lv3-23_v1,lv3,23,v1,1,v,lv3_v1
lv3-23_v2,lv3,23,v2,2,v,lv3_v2
sq3-06_i0,sq3,06,i0,0,i,sq3_i0
sq3-06_i1,sq3,06,i1,1,i,sq3_i1
sq3-06_i2,sq3,06,i2,2,i,sq3_i2
sq3-06_v0,sq3,06,v0,0,v,sq3_v0
sq3-06_v1,sq3,06,v1,1,v,sq3_v1
sq3-06_v2,sq3,06,v2,2,v,sq3_v2
sq3-08_i0,sq3,08,i0,0,i,sq3_i0
sq3-08_i1,sq3,08,i1,1,i,sq3_i1
sq3-08_i2,sq3,08,i2,2,i,sq3_i2
sq3-08_v0,sq3,08,v0,0,v,sq3_v0
sq3-08_v1,sq3,08,v1,1,v,sq3_v1
sq3-08_v2,sq3,08,v2,2,v,sq3_v2
sq3-11_i0,sq3,11,i0,0,i,sq3_i0
sq3-11_i1,sq3,11,i1,1,i,sq3_i1
sq3-11_i2,sq3,11,i2,2,i,sq3_i2
sq3-11_v0,sq3,11,v0,0,v,sq3_v0
sq3-11_v1,sq3,11,v1,1,v,sq3_v1
sq3-11_v2,sq3,11,v2,2,v,sq3_v2
sq3-14_i0,sq3,14,i0,0,i,sq3_i0
sq3-14_i1,sq3,14,i1,1,i,sq3_i1
sq3-14_i2,sq3,14,i2,2,i,sq3_i2
sq3-14_v1,sq3,14,v1,1,v,sq3_v1
sq3-14_v2,sq3,14,v2,2,v,sq3_v2
sq3-16_i0,sq3,16,i0,0,i,sq3_i0
sq3-16_i1,sq3,16,i1,1,i,sq3_i1
sq3-16_i2,sq3,16,i2,2,i,sq3_i2
